index,file_path,extension,experience,platforms,database,programming,machinelearning,universities,languages,hobbies,open-source
0,../data/input\Ao--25-02-2014-536631-001.pdf,.pdf,set(),set(),{'SQL'},set(),set(),set(),set(),set(),set()
1,../data/input\Dossier de Compétences JEMS  - BSE.pdf,.pdf,set(),{'Linux'},"{'MySQL', 'Oracle'}","{'C', 'java', 'PHP', 'python', 'R'}","{'sklearn', 'keras', 'tensorflow'}",set(),set(),set(),{'gitlab'}
